BIOCHEMICAL,SUPERPATH,SUBPATH,KEGG,RH127O_1,RH127O_2,RH127O_3,RH127O_4,RH127O_5,PLT_32B_1,PLT_32B_2,PLT_32B_3,PLT_32B_4,PLT_32B_5,VPI_1,VPI_2,VPI_3,VPI_4,SMC7758_1,SMC7758_2,SMC7758_3,SMC7758_4,SMC7758_5,MEM_1,MEM_2,MEM_3,MEM_4,MEM_5
X - 24973,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0472,0.03,1.3548,1.461,3.0638,2.2798,3.4767,5.0943,4.3373,4.6546,3.7784,0.03,0.03,0.03,0.03,0.03
X - 25004,,,,0.1533,0.1533,0.1533,0.1533,0.1533,0.1533,0.1533,0.1533,0.3378,0.1533,0.524,0.7111,0.2829,0.6565,0.1533,0.1533,0.1533,0.1533,0.1533,0.1533,0.1533,0.1533,0.1533,0.1533
X - 25009,,,,0.3322,0.4565,0.3796,0.1502,0.2889,0.0388,0.0409,0.4571,0.7651,0.6104,1,1.4241,0.8712,1.5075,1.2809,1.0555,1.4276,1.548,1.3122,0.0075,0.0075,0.0075,0.0075,0.0075
X - 25026,,,,0.0181,0.0595,0.0467,0.0083,0.0209,0.0035,0.0035,0.0314,0.0671,0.0644,0.0934,0.2511,0.1655,0.1995,0.1197,0.2052,0.1584,0.1679,0.1758,0.0035,0.0035,0.0035,0.0035,0.0035
X - 25081,,,,0.7115,0.4639,0.2972,0.822,1.5987,0.6818,0.2069,0.9808,0.9262,1.2104,1.1912,1.7528,1.6224,1.7151,1.0932,0.2069,0.9791,1.0192,1.8128,0.2069,0.2069,0.2069,0.2069,0.2069
X - 25095,,,,0.1185,0.1185,0.1185,0.1185,0.1185,0.1185,0.1185,0.1185,0.1185,0.1185,0.5337,0.5414,1.1347,0.8653,1.2023,1.7842,1.5736,1.8336,1.9053,0.1185,0.1185,0.1185,0.1185,0.1185
X - 25096,,,,0.1046,0.1046,0.1046,0.1046,0.1046,0.1046,0.1046,0.1046,0.1046,0.1046,0.8443,1,1.7142,1.4623,2.498,3.8506,3.0735,3.3832,4.1687,0.1046,0.1046,0.1046,0.1046,0.1046
X - 25100,,,,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,1,0.6744,1.8685,1.1545,3.9504,4.8216,3.6272,3.0771,3.5336,0.232,0.232,0.232,0.232,0.232
X - 25102,,,,0.1243,0.1243,0.1243,0.1243,0.1243,0.1243,0.1243,0.374,0.4524,0.5379,0.49,1.1564,0.6242,1.1323,0.186,0.1243,0.3009,0.2827,0.1327,0.1243,0.1243,0.1243,0.1243,0.1243
X - 25103,,,,0.4346,0.414,0.4627,0.7208,1.2029,0.5055,0.8636,0.8888,1.234,1.0411,1,1.6087,1.2313,1.5722,1.3978,0.414,1.0221,0.9308,1.7113,0.414,0.414,0.414,0.414,0.414
